시점,석탄 (천ton),석탄 (천ton),석탄 (천ton),석유 (천bbl),석유 (천bbl),석유 (천bbl),석유 (천bbl),천연가스 (천ton),도시가스 (백만㎥),전력 (GWh),열에너지 (천toe),신재생 및 기타 (천toe)
시점,소계,무연탄,유연탄,소계,에너지유,LPG,비에너지유,소계,소계,소계,소계,소계
1981,26970 ,19536 ,7434 ,131230 ,103732 ,4852 ,22646 ,0 ,21 ,35424 ,0 ,2492 
1982,27042 ,18539 ,8503 ,128898 ,99607 ,7080 ,22210 ,0 ,25 ,37880 ,0 ,2417 
1983,28708 ,19621 ,9087 ,140176 ,104859 ,9718 ,25599 ,0 ,34 ,42620 ,0 ,2378 
1984,31411 ,22008 ,9403 ,152559 ,112363 ,11996 ,28199 ,0 ,47 ,47051 ,0 ,2492 
1985,33615 ,24058 ,9557 ,159929 ,117008 ,13804 ,29117 ,0 ,77 ,50733 ,0 ,2031 
1986,35230 ,25303 ,9927 ,179142 ,129645 ,16938 ,32559 ,0 ,120 ,56310 ,0 ,1480 
1987,36418 ,24642 ,11776 ,202088 ,146764 ,20697 ,34627 ,0 ,181 ,64169 ,10 ,1319 
1988,37920 ,24225 ,13695 ,231911 ,169312 ,25208 ,37392 ,0 ,308 ,74317 ,63 ,1164 
1989,36473 ,21232 ,15241 ,263974 ,197112 ,29101 ,37761 ,0 ,590 ,82192 ,71 ,1033 
1990,35263 ,19108 ,16154 ,323972 ,237771 ,33307 ,52894 ,0 ,963 ,94313 ,75 ,797 
1991,33988 ,15354 ,18634 ,378588 ,267001 ,38540 ,73048 ,0 ,1467 ,104374 ,80 ,618 
1992,31401 ,11545 ,19857 ,455529 ,300618 ,47432 ,107479 ,0 ,2114 ,115244 ,143 ,722 
1993,31088 ,8544 ,22544 ,506290 ,337176 ,50674 ,118440 ,0 ,2883 ,127734 ,360 ,742 
1994,27928 ,5168 ,22760 ,553673 ,367005 ,53298 ,133371 ,0 ,3864 ,146540 ,460 ,906 
1995,27273 ,3599 ,23674 ,600231 ,404717 ,53783 ,141731 ,0 ,5327 ,163270 ,641 ,1050 
1996,28595 ,2805 ,25790 ,643626 ,434299 ,56664 ,152662 ,0 ,6607 ,182470 ,811 ,1161 
1997,29140 ,2142 ,26998 ,718228 ,439378 ,63791 ,215059 ,0 ,7708 ,200784 ,909 ,1344 
1998,27778 ,2199 ,25579 ,641854 ,346603 ,63818 ,231433 ,0 ,8024 ,193470 ,882 ,1526 
1999,28283 ,2443 ,25840 ,688307 ,379026 ,72495 ,236786 ,0 ,10012 ,214215 ,1033 ,1806 
2000,30391 ,3350 ,27042 ,698107 ,368424 ,81488 ,248196 ,0 ,11963 ,239535 ,1167 ,2130 
2001,31553 ,4451 ,27101 ,697052 ,359991 ,82499 ,254563 ,0 ,12657 ,257731 ,1218 ,2456 
2002,33308 ,5177 ,28131 ,721390 ,362342 ,89739 ,269309 ,0 ,13873 ,278451 ,1316 ,2925 
2003,34792 ,5874 ,28918 ,721519 ,354633 ,87679 ,279207 ,0 ,14734 ,293599 ,1523 ,3210 
2004,34365 ,5893 ,28472 ,717176 ,337055 ,87482 ,292639 ,0 ,15422 ,312096 ,1449 ,3928 
2005,34627 ,6683 ,27944 ,727886 ,335259 ,90272 ,302355 ,0 ,16963 ,332413 ,1652 ,3896 
2006,35215 ,7413 ,27802 ,733947 ,325173 ,92617 ,316157 ,0 ,17504 ,348719 ,1549 ,4092 
2007,36191 ,7240 ,28951 ,762720 ,321577 ,96376 ,344767 ,0 ,17967 ,368605 ,1576 ,4491 
2008,38930 ,7708 ,31222 ,740032 ,301801 ,99679 ,338552 ,0 ,18734 ,385070 ,1668 ,4747 
2009,34594 ,6895 ,27698 ,751654 ,295644 ,103868 ,352142 ,0 ,18445 ,394475 ,1709 ,4867 
2010,42040 ,7552 ,34488 ,766756 ,304012 ,100279 ,362465 ,761 ,19982 ,434163 ,1939 ,5326 
2011,48891 ,9414 ,39477 ,778666 ,296414 ,92692 ,389560 ,963 ,21679 ,455070 ,1976 ,4850 
2012,47255 ,8518 ,38736 ,793982 ,289244 ,88100 ,416638 ,886 ,23776 ,466593 ,2102 ,6156 
2013,48163 ,8778 ,39386 ,795247 ,284330 ,91359 ,419558 ,623 ,23890 ,474849 ,2070 ,6639 
2014,53052 ,7880 ,45172 ,805329 ,284434 ,88844 ,432050 ,590 ,22091 ,477592 ,1528 ,6175 
2015,52606 ,8413 ,44193 ,838448 ,305990 ,88972 ,443487 ,653 ,20785 ,483655 ,1967 ,7595 
2016,49019 ,8272 ,40747 ,899308 ,326294 ,107873 ,465140 ,801 ,21271 ,497039 ,2183 ,7173 
2017,50363 ,7182 ,43181 ,926623 ,330076 ,103616 ,492931 ,1049 ,22603 ,507746 ,2441 ,8638 
2018,49295 ,8280 ,41014 ,920044 ,327027 ,107169 ,485848 ,1560 ,24275 ,526149 ,2682 ,9110 
2019,48205 ,6758 ,41447 ,918480 ,323446 ,120116 ,474919 ,2227 ,23268 ,520499 ,2646 ,8910 
